Customer_ID,Customer_Name,Gender,Age_Group,Customer_Segment,Region
C0001,Hassan Njoroge,Male,55+,,Western
C0002,Samuel Akinyi,Female,55+,Consumer,Western
C0003,Peter Muriuki,Male,25-34,Consumer,Eastern
C0004,Sharon Njoroge,Female,25-34,Small Business,Coast
C0005,Brian Njoroge,Female,55+,Consumer,Western
C0006,Brian Kiptoo,Female,25-34,Consumer,Nairobi
C0007,Irene Kariuki,Male,18-24,Consumer,Central
C0008,Nancy Muriuki,Male,25-34,Consumer,Western
C0009,Carol Kamau,Male,18-24,Small Business,Western
C0010,Kevin Ochieng,Male,45-54,Consumer,Nairobi
C0011,Hassan Kiptoo,Male,35-44,Consumer,Eastern
C0012,Rose Mwangi,Male,25-34,Corporate,Eastern
C0013,James Njoroge,Female,45-54,Consumer,Nairobi
C0014,Esther Mutua,Male,45-54,Consumer,Western
C0015,Brian Wambui,Female,55+,Consumer,Nairobi
C0016,Samuel Kamau,Female,18-24,Small Business,Rift Valley
C0017,Carol Akinyi,Male,55+,Consumer,Central
C0018,Hassan Mwangi,Male,55+,Small Business,Coast
C0019,Sharon Ochieng,Female,55+,Consumer,Rift Valley
C0020,Nancy Akinyi,Female,35-44,Corporate,Rift Valley
C0021,Lucy Muriuki,Male,18-24,Small Business,Nairobi
C0022,Peter Ochieng,Female,35-44,Consumer,Eastern
C0023,Mary Wambui,Female,55+,Consumer,Nairobi
C0024,Irene Njoroge,Male,25-34,Small Business,Nairobi
C0025,Lucy Otieno,Female,35-44,Consumer,Western
C0026,Kevin Otieno,Female,18-24,Consumer,Central
C0027,Nancy Kariuki,Female,45-54,Consumer,Eastern
C0028,Esther Mutua,Male,18-24,Consumer,Rift Valley
C0029,David Kariuki,Male,55+,Consumer,Central
C0030,James Kariuki,Male,55+,Consumer,Eastern
C0031,Esther Ochieng,Male,35-44,Consumer,Central
C0032,Nancy Kamau,Female,25-34,Consumer,Western
C0033,Esther Otieno,Female,35-44,Consumer,Nairobi
C0034,Carol Mutua,Male,18-24,Consumer,Eastern
C0035,Hassan Mwangi,Female,35-44,Consumer,Nairobi
C0036,Faith Akinyi,Male,35-44,Consumer,Nairobi
C0037,Sharon Kamau,Male,55+,Consumer,Western
C0038,Carol Kamau,Female,55+,Consumer,Eastern
C0039,Carol Mwangi,Male,35-44,Corporate,Eastern
C0040,Samuel Muriuki,Male,18-24,Small Business,Rift Valley
C0041,Amina Mwangi,Female,35-44,Consumer,Eastern
C0042,Victor Otieno,Male,35-44,Small Business,Eastern
C0043,David Maina,Male,55+,Consumer,Western
C0044,James Njoroge,Male,35-44,Consumer,Central
C0045,Hassan Maina,Male,55+,Consumer,Rift Valley
C0046,George Mwangi,Female,45-54,Consumer,Rift Valley
C0047,Sharon Kamau,Male,55+,Consumer,Central
C0048,Irene Ochieng,Female,45-54,Consumer,Nairobi
C0049,Victor Maina,Male,35-44,Consumer,Rift Valley
C0050,George Njoroge,Female,55+,Consumer,Nairobi
C0051,James Njoroge,Male,35-44,Consumer,Eastern
C0052,George Akinyi,Female,35-44,Consumer,Nairobi
C0053,Brian Njoroge,Female,35-44,Corporate,Nairobi
C0054,Hassan Kariuki,Female,55+,Consumer,Eastern
C0055,Rose Kiptoo,Female,55+,Small Business,Nairobi
C0056,Victor Mwangi,Male,55+,Corporate,Nairobi
C0057,Brian Mutua,Male,55+,Consumer,Coast
C0058,Victor Akinyi,Male,18-24,Consumer,Eastern
C0059,Amina Akinyi,Male,45-54,Consumer,Nairobi
C0060,Amina Wambui,Male,18-24,Small Business,Central
C0061,James Mwangi,Female,25-34,Consumer,Rift Valley
C0062,Rose Akinyi,Female,45-54,Small Business,Eastern
C0063,Hassan Kariuki,Male,55+,Consumer,Western
C0064,David Ochieng,Male,45-54,Consumer,Nairobi
C0065,Kevin Mwangi,Male,25-34,Small Business,Nairobi
C0066,Sharon Kariuki,Female,55+,Consumer,Nairobi
C0067,Sharon Kiptoo,Female,55+,Consumer,Nairobi
C0068,Samuel Kiptoo,Female,35-44,Consumer,Rift Valley
C0069,Wanjiku Muriuki,Male,45-54,Consumer,Nairobi
C0070,Hassan Otieno,Female,55+,Consumer,Western
C0071,Rose Mwangi,Male,55+,Consumer,Rift Valley
C0072,George Muriuki,Male,45-54,Consumer,Coast
C0073,Kevin Kiptoo,Female,55+,Corporate,Nairobi
C0074,David Mutua,Male,45-54,Consumer,Rift Valley
C0075,Mary Otieno,Female,55+,Consumer,Rift Valley
C0076,Kevin Akinyi,Female,55+,Consumer,Rift Valley
C0077,David Ochieng,Female,45-54,Consumer,Nairobi
C0078,Victor Mwangi,Female,35-44,Small Business,Nairobi
C0079,Wanjiku Mwangi,Female,35-44,,Eastern
C0080,Sharon Kariuki,Male,55+,Consumer,Central
C0081,Irene Wambui,Female,18-24,Consumer,Central
C0082,Wanjiku Ochieng,Male,35-44,Consumer,Western
C0083,Peter Kiptoo,Female,25-34,Small Business,Rift Valley
C0084,Amina Njoroge,Male,35-44,Small Business,Eastern
C0085,Carol Njoroge,Female,55+,Small Business,Central
C0086,David Muriuki,Male,55+,Small Business,Eastern
C0087,Lucy Muriuki,Female,55+,Consumer,Nairobi
C0088,Brian Mwangi,Male,55+,Consumer,Western
C0089,David Kiptoo,Female,55+,Small Business,Coast
C0090,Brian Muriuki,Male,25-34,Corporate,Nairobi
C0091,Samuel Otieno,Male,45-54,Small Business,Nairobi
C0092,Victor Mutua,Female,35-44,Small Business,Central
C0093,Kevin Wambui,Male,25-34,Small Business,Eastern
